date,OT,interpolated_flag
2014-01-02,95.44000244140624,0
2014-01-03,93.95999908447266,0
2014-01-04,93.95999908447266,1
2014-01-05,93.95999908447266,1
2014-01-06,93.43000030517578,0
2014-01-07,93.66999816894533,0
2014-01-08,92.33000183105467,0
2014-01-09,91.66000366210938,0
2014-01-10,92.72000122070312,0
2014-01-11,92.72000122070312,1
2014-01-12,92.72000122070312,1
2014-01-13,91.8000030517578,0
2014-01-14,92.58999633789062,0
2014-01-15,94.16999816894533,0
2014-01-16,93.95999908447266,0
2014-01-17,94.37000274658205,0
2014-01-18,94.37000274658205,1
2014-01-19,94.37000274658205,1
2014-01-20,94.37000274658205,1
2014-01-21,94.98999786376952,0
2014-01-22,96.7300033569336,0
2014-01-23,97.31999969482422,0
2014-01-24,96.63999938964844,0
2014-01-25,96.63999938964844,1
2014-01-26,96.63999938964844,1
2014-01-27,95.72000122070312,0
2014-01-28,97.41000366210938,0
2014-01-29,97.36000061035156,0
2014-01-30,98.2300033569336,0
2014-01-31,97.48999786376952,0
2014-02-01,97.48999786376952,1
2014-02-02,97.48999786376952,1
2014-02-03,96.43000030517578,0
2014-02-04,97.19000244140624,0
2014-02-05,97.37999725341795,0
2014-02-06,97.83999633789062,0
2014-02-07,99.87999725341795,0
2014-02-08,99.87999725341795,1
2014-02-09,99.87999725341795,1
2014-02-10,100.05999755859376,0
2014-02-11,99.94000244140624,0
2014-02-12,100.37000274658205,0
2014-02-13,100.3499984741211,0
2014-02-14,100.3000030517578,0
2014-02-15,100.3000030517578,1
2014-02-16,100.3000030517578,1
2014-02-17,100.3000030517578,1
2014-02-18,102.43000030517578,0
2014-02-19,103.30999755859376,0
2014-02-20,102.91999816894533,0
2014-02-21,102.1999969482422,0
2014-02-22,102.1999969482422,1
2014-02-23,102.1999969482422,1
2014-02-24,102.81999969482422,0
2014-02-25,101.83000183105467,0
2014-02-26,102.58999633789062,0
2014-02-27,102.4000015258789,0
2014-02-28,102.58999633789062,0
2014-03-01,102.58999633789062,1
2014-03-02,102.58999633789062,1
2014-03-03,104.91999816894533,0
2014-03-04,103.33000183105467,0
2014-03-05,101.4499969482422,0
2014-03-06,101.55999755859376,0
2014-03-07,102.58000183105467,0
2014-03-08,102.58000183105467,1
2014-03-09,102.58000183105467,1
2014-03-10,101.12000274658205,0
2014-03-11,100.02999877929688,0
2014-03-12,97.98999786376952,0
2014-03-13,98.1999969482422,0
2014-03-14,98.88999938964844,0
2014-03-15,98.88999938964844,1
2014-03-16,98.88999938964844,1
2014-03-17,98.08000183105467,0
2014-03-18,99.6999969482422,0
2014-03-19,100.37000274658205,0
2014-03-20,99.43000030517578,0
2014-03-21,99.45999908447266,0
2014-03-22,99.45999908447266,1
2014-03-23,99.45999908447266,1
2014-03-24,99.5999984741211,0
2014-03-25,99.19000244140624,0
2014-03-26,100.26000213623048,0
2014-03-27,101.27999877929688,0
2014-03-28,101.66999816894533,0
2014-03-29,101.66999816894533,1
2014-03-30,101.66999816894533,1
2014-03-31,101.58000183105467,0
2014-04-01,99.73999786376952,0
2014-04-02,99.62000274658205,0
2014-04-03,100.29000091552734,0
2014-04-04,101.13999938964844,0
2014-04-05,101.13999938964844,1
2014-04-06,101.13999938964844,1
2014-04-07,100.44000244140624,0
2014-04-08,102.55999755859376,0
2014-04-09,103.5999984741211,0
2014-04-10,103.4000015258789,0
2014-04-11,103.73999786376952,0
2014-04-12,103.73999786376952,1
2014-04-13,103.73999786376952,1
2014-04-14,104.0500030517578,0
2014-04-15,103.75,0
2014-04-16,103.76000213623048,0
2014-04-17,104.3000030517578,0
2014-04-18,104.3000030517578,1
2014-04-19,104.3000030517578,1
2014-04-20,104.3000030517578,1
2014-04-21,104.37000274658205,0
2014-04-22,102.12999725341795,0
2014-04-23,101.44000244140624,0
2014-04-24,101.94000244140624,0
2014-04-25,100.5999984741211,0
2014-04-26,100.5999984741211,1
2014-04-27,100.5999984741211,1
2014-04-28,100.83999633789062,0
2014-04-29,101.27999877929688,0
2014-04-30,99.73999786376952,0
2014-05-01,99.41999816894533,0
2014-05-02,99.76000213623048,0
2014-05-03,99.76000213623048,1
2014-05-04,99.76000213623048,1
2014-05-05,99.4800033569336,0
2014-05-06,99.5,0
2014-05-07,100.7699966430664,0
2014-05-08,100.26000213623048,0
2014-05-09,99.98999786376952,0
2014-05-10,99.98999786376952,1
2014-05-11,99.98999786376952,1
2014-05-12,100.58999633789062,0
2014-05-13,101.6999969482422,0
2014-05-14,102.37000274658205,0
2014-05-15,101.5,0
2014-05-16,102.0199966430664,0
2014-05-17,102.0199966430664,1
2014-05-18,102.0199966430664,1
2014-05-19,102.61000061035156,0
2014-05-20,102.44000244140624,0
2014-05-21,104.06999969482422,0
2014-05-22,103.73999786376952,0
2014-05-23,104.3499984741211,0
2014-05-24,104.3499984741211,1
2014-05-25,104.3499984741211,1
2014-05-26,104.3499984741211,1
2014-05-27,104.11000061035156,0
2014-05-28,102.72000122070312,0
2014-05-29,103.58000183105467,0
2014-05-30,102.70999908447266,0
2014-05-31,102.70999908447266,1
2014-06-01,102.70999908447266,1
2014-06-02,102.47000122070312,0
2014-06-03,102.66000366210938,0
2014-06-04,102.63999938964844,0
2014-06-05,102.4800033569336,0
2014-06-06,102.66000366210938,0
2014-06-07,102.66000366210938,1
2014-06-08,102.66000366210938,1
2014-06-09,104.41000366210938,0
2014-06-10,104.3499984741211,0
2014-06-11,104.4000015258789,0
2014-06-12,106.52999877929688,0
2014-06-13,106.91000366210938,0
2014-06-14,106.91000366210938,1
2014-06-15,106.91000366210938,1
2014-06-16,106.9000015258789,0
2014-06-17,106.36000061035156,0
2014-06-18,105.97000122070312,0
2014-06-19,106.43000030517578,0
2014-06-20,107.26000213623048,0
2014-06-21,107.26000213623048,1
2014-06-22,107.26000213623048,1
2014-06-23,106.16999816894533,0
2014-06-24,106.02999877929688,0
2014-06-25,106.5,0
2014-06-26,105.83999633789062,0
2014-06-27,105.73999786376952,0
2014-06-28,105.73999786376952,1
2014-06-29,105.73999786376952,1
2014-06-30,105.37000274658205,0
2014-07-01,105.33999633789062,0
2014-07-02,104.4800033569336,0
2014-07-03,104.05999755859376,0
2014-07-04,104.05999755859376,1
2014-07-05,104.05999755859376,1
2014-07-06,104.05999755859376,1
2014-07-07,103.52999877929688,0
2014-07-08,103.4000015258789,0
2014-07-09,102.29000091552734,0
2014-07-10,102.93000030517578,0
2014-07-11,100.83000183105467,0
2014-07-12,100.83000183105467,1
2014-07-13,100.83000183105467,1
2014-07-14,100.91000366210938,0
2014-07-15,99.95999908447266,0
2014-07-16,101.1999969482422,0
2014-07-17,103.19000244140624,0
2014-07-18,103.12999725341795,0
2014-07-19,103.12999725341795,1
2014-07-20,103.12999725341795,1
2014-07-21,104.58999633789062,0
2014-07-22,104.41999816894533,0
2014-07-23,103.12000274658205,0
2014-07-24,102.06999969482422,0
2014-07-25,102.08999633789062,0
2014-07-26,102.08999633789062,1
2014-07-27,102.08999633789062,1
2014-07-28,101.66999816894533,0
2014-07-29,100.97000122070312,0
2014-07-30,100.2699966430664,0
2014-07-31,98.16999816894533,0
2014-08-01,97.87999725341795,0
2014-08-02,97.87999725341795,1
2014-08-03,97.87999725341795,1
2014-08-04,98.29000091552734,0
2014-08-05,97.37999725341795,0
2014-08-06,96.91999816894533,0
2014-08-07,97.33999633789062,0
2014-08-08,97.6500015258789,0
2014-08-09,97.6500015258789,1
2014-08-10,97.6500015258789,1
2014-08-11,98.08000183105467,0
2014-08-12,97.37000274658205,0
2014-08-13,97.58999633789062,0
2014-08-14,95.58000183105467,0
2014-08-15,97.3499984741211,0
2014-08-16,97.3499984741211,1
2014-08-17,97.3499984741211,1
2014-08-18,96.41000366210938,0
2014-08-19,94.4800033569336,0
2014-08-20,96.06999969482422,0
2014-08-21,93.95999908447266,0
2014-08-22,93.6500015258789,0
2014-08-23,93.6500015258789,1
2014-08-24,93.6500015258789,1
2014-08-25,93.3499984741211,0
2014-08-26,93.86000061035156,0
2014-08-27,93.87999725341795,0
2014-08-28,94.5500030517578,0
2014-08-29,95.95999908447266,0
2014-08-30,95.95999908447266,1
2014-08-31,95.95999908447266,1
2014-09-01,95.95999908447266,1
2014-09-02,92.87999725341795,0
2014-09-03,95.54000091552734,0
2014-09-04,94.4499969482422,0
2014-09-05,93.29000091552734,0
2014-09-06,93.29000091552734,1
2014-09-07,93.29000091552734,1
2014-09-08,92.66000366210938,0
2014-09-09,92.75,0
2014-09-10,91.66999816894533,0
2014-09-11,92.83000183105467,0
2014-09-12,92.2699966430664,0
2014-09-13,92.2699966430664,1
2014-09-14,92.2699966430664,1
2014-09-15,92.91999816894533,0
2014-09-16,94.87999725341795,0
2014-09-17,94.41999816894533,0
2014-09-18,93.06999969482422,0
2014-09-19,92.41000366210938,0
2014-09-20,92.41000366210938,1
2014-09-21,92.41000366210938,1
2014-09-22,91.5199966430664,0
2014-09-23,91.55999755859376,0
2014-09-24,92.8000030517578,0
2014-09-25,92.52999877929688,0
2014-09-26,93.54000091552734,0
2014-09-27,93.54000091552734,1
2014-09-28,93.54000091552734,1
2014-09-29,94.56999969482422,0
2014-09-30,91.16000366210938,0
2014-10-01,90.7300033569336,0
2014-10-02,91.01000213623048,0
2014-10-03,89.73999786376953,0
2014-10-04,89.73999786376953,1
2014-10-05,89.73999786376953,1
2014-10-06,90.33999633789062,0
2014-10-07,88.8499984741211,0
2014-10-08,87.30999755859375,0
2014-10-09,85.7699966430664,0
2014-10-10,85.81999969482422,0
2014-10-11,85.81999969482422,1
2014-10-12,85.81999969482422,1
2014-10-13,85.73999786376953,0
2014-10-14,81.83999633789062,0
2014-10-15,81.77999877929688,0
2014-10-16,82.69999694824219,0
2014-10-17,82.75,0
2014-10-18,82.75,1
2014-10-19,82.75,1
2014-10-20,82.70999908447266,0
